uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"ce782e50-f37f-4bdc-a255-dcc63f548fd7","BART_051.basePlot.vst","2019-07-10","D01","BART","BART_051","tower","deciduousForest",44.062847,-71.287742,"WGS84",20.2,316774.37,4881397.78,"19N",280.4,0.4,"vst_BART_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"25","noneSelected",800,100,800,,,,
"03a9159e-2ead-4f36-a3f0-3622bba69b5f","BART_033.basePlot.vst","2019-07-10","D01","BART","BART_033","tower","deciduousForest",44.063198,-71.283663,"WGS84",20.2,317102.15,4881427.69,"19N",275.7,0.2,"vst_BART_2019",,,"23 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"25","noneSelected",800,100,800,,,,
"e1ce3350-6a3b-44b7-808e-5aafa44d4c7b","BART_070.basePlot.vst","2019-07-10","D01","BART","BART_070","tower","mixedForest",44.064338,-71.281440,"WGS84",20.2,317283.70,4881549.38,"19N",251.3,0.3,"vst_BART_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"a38c7580-de3d-4001-8d66-cfb29bbc254b","BART_044.basePlot.vst","2019-07-10","D01","BART","BART_044","tower","deciduousForest",44.061036,-71.284327,"WGS84",20.1,317042.31,4881189.03,"19N",303.1,0.2,"vst_BART_2019",,,"23 | 39","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"c16b56ac-ffce-4c86-9f61-f69f6d50db54","BART_050.basePlot.vst","2019-07-10","D01","BART","BART_050","tower","mixedForest",44.061510,-71.287690,"WGS84",20.2,316774.41,4881249.16,"19N",287.7,0.3,"vst_BART_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"d7801211-3f9e-43b7-a2f7-497411ad3b8d","BART_041.basePlot.vst","2019-07-10","D01","BART","BART_041","tower","deciduousForest",44.065342,-71.285610,"WGS84",20.2,316952.82,4881670.16,"19N",260.9,0.4,"vst_BART_2019",,,"23 | 39","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"390edd1f-f626-4fa1-a438-90605fb50eae","BART_071.basePlot.vst","2019-07-10","D01","BART","BART_071","tower","mixedForest",44.067944,-71.290624,"WGS84",20.1,316559.30,4881970.33,"19N",256.4,0.2,"vst_BART_2019",,,"21 | 39","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"17ed9463-8eef-4641-b80f-77731ec12283","BART_032.basePlot.vst","2019-07-10","D01","BART","BART_032","tower","deciduousForest",44.067467,-71.287580,"WGS84",20.2,316801.60,4881910.57,"19N",244.7,0.3,"vst_BART_2019",,,"23 | 39","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"25","noneSelected",800,100,800,,,,
"a1247260-ce00-47a2-b165-3cd3aaf9515d","BART_040.basePlot.vst","2019-07-10","D01","BART","BART_040","tower","deciduousForest",44.065760,-71.291990,"WGS84",20.1,316443.15,4881730.79,"19N",260.2,0.2,"vst_BART_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","21_4","N",,"25","noneSelected",800,100,800,,,,
"79516e05-2577-4d2c-be6d-ec273d48806c","BART_047.basePlot.vst","2019-07-10","D01","BART","BART_047","tower","deciduousForest",44.064968,-71.290855,"WGS84",20.1,316531.60,4881640.29,"19N",262.9,0.2,"vst_BART_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"0f0a6083-38f0-4ecf-9123-d4331a796571","BART_046.basePlot.vst","2019-07-10","D01","BART","BART_046","tower","deciduousForest",44.059946,-71.285408,"WGS84",20.2,316952.36,4881070.37,"19N",303.0,0.3,"vst_BART_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"6d5780e1-e763-430b-9d51-38d538ee35d6","BART_036.basePlot.vst","2019-07-10","D01","BART","BART_036","tower","deciduousForest",44.062082,-71.285878,"WGS84",20.2,316921.30,4881308.66,"19N",291.0,0.2,"vst_BART_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"446b1fbc-77f6-4ede-a243-c064270a464e","BART_034.basePlot.vst","2019-07-10","D01","BART","BART_034","tower","mixedForest",44.064284,-71.285608,"WGS84",20.2,316949.72,4881552.64,"19N",265.9,0.3,"vst_BART_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"ffd68a46-dcc2-4b0c-b5f5-3844cf653a90","BART_019.basePlot.vst","2019-07-10","D01","BART","BART_019","distributed","mixedForest",44.069366,-71.286161,"WGS84",20.1,316921.10,4882118.34,"19N",240.3,0.2,"vst_BART_2019",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","31_4","N",,"10","noneSelected",400,80,400,,,,
"1ac1c37c-1321-4c5f-8c78-16de7fcb7c28","BART_074.basePlot.vst","2019-07-10","D01","BART","BART_074","tower","mixedForest",44.060251,-71.283200,"WGS84",20.1,317130.15,4881099.34,"19N",311.2,0.2,"vst_BART_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"25","noneSelected",800,100,800,,,,
"848090c5-e0fa-41a6-bad3-f8dd60fc6b5d","BART_039.basePlot.vst","2019-07-10","D01","BART","BART_039","tower","deciduousForest",44.063682,-71.288951,"WGS84",20.3,316680.12,4881493.21,"19N",270.8,0.5,"vst_BART_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"86aeaf73-2520-47fe-a92c-74fbe582aee1","BART_072.basePlot.vst","2019-07-10","D01","BART","BART_072","tower","deciduousForest",44.060735,-71.286187,"WGS84",20.3,316892.40,4881159.73,"19N",295.9,0.5,"vst_BART_2019",,,"21 | 39","NEON.DOC.000987vH","Y","Y","presentInAll","Y","presentInAll","N",,"10","noneSelected",800,40,800,,,,
