uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"5fd7c780-9ae3-486b-b43e-bae45b6254a1","BLAN_052.basePlot.vst","2018-09-04","D02","BLAN","BLAN_052","tower","shrubScrub",39.059365,-78.071895,"WGS84",10.1,753360.68,4327445.83,"17N",182.9,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","presentInAll","Y","presentInAll","Y","presentInAll","10","10",400,80,80,,,,
"214de86d-aaaa-4ea7-8193-0594111db3b0","BLAN_035.basePlot.vst","2018-09-05","D02","BLAN","BLAN_035","tower","shrubScrub",39.057244,-78.073734,"WGS84",10.1,753209.11,4327205.26,"17N",183.7,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","31|40","Y","presentInAll","Y","presentInAll","10","noneSelected",400,80,400,,,,
"0e4bc832-e7c4-476c-8ded-32de517e5e1a","BLAN_050.basePlot.vst","2018-09-05","D02","BLAN","BLAN_050","tower","shrubScrub",39.058855,-78.072602,"WGS84",10.1,753301.31,4327387.24,"17N",183.1,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","32","Y","presentInAll","Y","presentInAll","10","25",400,80,200,,,,
"d27cbf50-4864-4008-ab5c-de368509ad27","BLAN_057.basePlot.vst","2018-09-06","D02","BLAN","BLAN_057","tower","shrubScrub",39.057518,-78.074410,"WGS84",10.1,753149.62,4327233.79,"17N",184.9,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","31|40|41","Y","presentInAll","Y","presentInAll","10","noneSelected",400,80,400,,,,
"c04f7f3d-6426-41bf-a08c-e42c8d348699","BLAN_053.basePlot.vst","2018-09-10","D02","BLAN","BLAN_053","tower","shrubScrub",39.058047,-78.073686,"WGS84",10.1,753210.39,4327294.53,"17N",186.4,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N",,"Y","presentInAll","Y","presentInAll","10","noneSelected",400,80,400,,,,
"5cff09ff-89f9-4596-bb05-24ad3c6e97fa","BLAN_044.basePlot.vst","2018-09-12","D02","BLAN","BLAN_044","tower","shrubScrub",39.059389,-78.072571,"WGS84",10.1,753302.09,4327446.60,"17N",183.7,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","31|40","Y","31_4","Y","31_4","10","10",400,80,80,,,,
"e0763422-47b7-400e-a03f-a57aa3843f5d","BLAN_063.basePlot.vst","2018-09-12","D02","BLAN","BLAN_063","tower","deciduousForest",39.060809,-78.075994,"WGS84",10.2,753000.78,4327594.69,"17N",191.9,0.3,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","presentInAll","Y","presentInAll","Y","31","25","noneSelected",400,200,400,,,,
"67f00c3e-44f9-49bb-9e33-7c996baeeef8","BLAN_047.basePlot.vst","2018-09-13","D02","BLAN","BLAN_047","tower","deciduousForest",39.060777,-78.074263,"WGS84",10.1,753150.69,4327595.96,"17N",181.0,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","presentInAll","Y","presentInAll","Y","40_3|41_4","10","10",400,80,80,,,,
"48c5f375-db98-4c25-941e-452832f4cd07","BLAN_032.basePlot.vst","2018-09-13","D02","BLAN","BLAN_032","tower","shrubScrub",39.058572,-78.073305,"WGS84",20.1,753241.49,4327353.87,"17N",184.7,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N","31|32|40|41","Y","presentInAll","Y","presentInAll","25","noneSelected",400,200,400,,,,
"8d8c0b86-bb47-432a-ab70-94b94c387abc","BLAN_036.basePlot.vst","2018-09-18","D02","BLAN","BLAN_036","tower","shrubScrub",39.061573,-78.073985,"WGS84",10.1,753171.91,4327685.09,"17N",183.8,0.1,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","presentInAll","Y","31_1","Y","presentInAll","10","10",400,80,80,,,,
"42c10dbf-0ea1-4344-b88a-0e7b2bb0f269","BLAN_048.basePlot.vst","2018-09-19","D02","BLAN","BLAN_048","tower","deciduousForest",39.061351,-78.075960,"WGS84",10.2,753001.78,4327654.95,"17N",190.7,0.2,"vst_BLAN_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y","presentInAll","Y","32_2","Y","presentInAll","10","25",400,80,200,,,,
