uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"8074c6ac-eee4-46b6-b86a-a59a3aece351","DSNY_017.basePlot.vst","2018-01-02","D03","DSNY","DSNY_017","distributed","woodyWetlands",28.058282,-81.402874,"WGS84",20.1,460409.56,3103724.07,"17N",20.1,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"dbyerley@field-ops.org","jlewis@battelleecology.org",
"ea55088f-a263-4aca-9339-dc41d2b41236","DSNY_004.basePlot.vst","2018-01-04","D03","DSNY","DSNY_004","distributed","woodyWetlands",28.099732,-81.399974,"WGS84",20.1,460709.63,3108314.87,"17N",18.8,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","N",,"Y",,"N",,"10","noneSelected",400,80,400,,"smatlick@battelleecology.org","jmiller@battelleecology.org",
"84cb587f-7cdc-4c39-b9eb-74e6f901ee6f","DSNY_001.basePlot.vst","2018-01-05","D03","DSNY","DSNY_001","distributed","woodyWetlands",28.096700,-81.418579,"WGS84",20.1,458880.85,3107985.14,"17N",20.7,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","N",,"Y","31","N",,"noneSelected","noneSelected",400,400,400,,"dbyerley@field-ops.org","jlewis@battelleecology.org",
"b282e42e-4326-43ae-a9d8-1b80113a1806","DSNY_005.basePlot.vst","2018-01-09","D03","DSNY","DSNY_005","distributed","woodyWetlands",28.039641,-81.393323,"WGS84",20.1,461341.48,3101656.00,"17N",19.5,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","N","32|41","Y","32_2","N",,"10","10",400,80,80,,"dbyerley@field-ops.org","jlewis@battelleecology.org",
"b5748bae-181f-432a-b11c-f93f179e81b7","DSNY_003.basePlot.vst","2018-01-11","D03","DSNY","DSNY_003","distributed","woodyWetlands",28.074209,-81.425532,"WGS84",20.1,458189.10,3105496.00,"17N",18.9,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y","31|32|40","Y","32_2","N",,"10","noneSelected",400,80,400,,"mkerstein@neoninc.org","sdixon@battelleecology.org",
"2e3fa5d2-781b-4374-8e27-b2c448edae5d","DSNY_016.basePlot.vst","2018-01-11","D03","DSNY","DSNY_016","distributed","pastureHay",28.043948,-81.393638,"WGS84",20.1,461312.06,3102133.21,"17N",19.7,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","N",,"Y","40|41","N",,"noneSelected","noneSelected",400,400,400,,"dbyerley@field-ops.org","jlewis@battelleecology.org",
"adcf3767-ed41-4cd9-bac0-a545165179e7","DSNY_011.basePlot.vst","2018-01-15","D03","DSNY","DSNY_011","distributed","woodyWetlands",28.070798,-81.383974,"WGS84",20.2,462271.25,3105104.56,"17N",20.2,0.6,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y","32","Y","31|40","noneSelected","noneSelected",400,400,400,,"sknowlden@battelleecology.org","jlewis@battelleecology.org",
"d0864505-82bb-4a66-8d34-d31e2f79a720","DSNY_013.basePlot.vst","2018-01-16","D03","DSNY","DSNY_013","distributed","woodyWetlands",28.110482,-81.425956,"WGS84",20.1,458161.51,3109514.40,"17N",20.0,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y","31|32","Y","32_4|40_1","N",,"10","noneSelected",400,80,400,,"sknowlden@battelleecology.org","ebaldwin@battelleecology.org",
"7da5dd11-595d-43a3-934d-9605c7a9b29b","DSNY_006.basePlot.vst","2018-01-16","D03","DSNY","DSNY_006","distributed","woodyWetlands",28.092969,-81.399332,"WGS84",20.1,460770.24,3107565.47,"17N",20.7,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y","40","Y",,"N",,"noneSelected","noneSelected",400,400,400,,"kmcmahon@battelleecology.org","mkerstein@neoninc.org",
"bd778099-5b5f-46d2-8e8c-5a488feda3a5","DSNY_012.basePlot.vst","2018-01-16","D03","DSNY","DSNY_012","distributed","woodyWetlands",28.102984,-81.406399,"WGS84",20.1,460079.69,3108677.21,"17N",20.2,0.1,"vst_DSNY_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y","40|41","Y",,"N",,"noneSelected","noneSelected",400,400,400,,"kmcmahon@battelleecology.org","mkerstein@neoninc.org",
