uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"a6179330-455b-4f0a-bb60-397a8b20769a","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","40",,,,,,"NEON.PLA.D03.JERC.00080",,,"NEON.DOC.000987vC","PIPA2","Pinus palustris Mill.","species",,,,,"Listed on data sheet as subplot ID 49 corrected on data sheet/","jkilmer@field-ops.org","tantony@field-ops.org",
"6c7d18a3-be9f-4bbd-911f-02f7e4fa2af6","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","40",,,,,,"NEON.PLA.D03.JERC.00086",,,"NEON.DOC.000987vC","DIOSP","Diospyros sp.","genus",,,,,"Listed on data sheet as subplot ID 49 corrected on data sheet","jkilmer@field-ops.org","tantony@field-ops.org",
"c4025154-ee89-489d-8d0d-e6ba4484ecc8","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","31",,"41",8.4,82.5,,"NEON.PLA.D03.JERC.00058",,,"NEON.DOC.000987vC","PIPA2","Pinus palustris Mill.","species",,,,,"Azimuth recorded in Point ID;no pointID on the data sheet chose 41","jkilmer@field-ops.org","tantony@field-ops.org",
"00850272-6480-4019-a928-390d2e06987e","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","31",,,,,,"NEON.PLA.D03.JERC.00069",,,"NEON.DOC.000987vC","DIOSP","Diospyros sp.","genus",,,,,"Dead Rx Fire","jkilmer@field-ops.org","tantony@field-ops.org",
"59e02eec-fff4-431e-a360-114ba55ca641","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","40",,,,,,"NEON.PLA.D03.JERC.00079",,,"NEON.DOC.000987vC","SASSA","Sassafras sp.","genus",,,,,"no transcription errors found; Listed on data sheet as subplot ID 33 corrected on data sheet; Dead Rx Fire","jkilmer@field-ops.org","tantony@field-ops.org",
"87140d78-a193-4d61-b171-a1f015b04615","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","41",,"41",6.8,20.8,,"NEON.PLA.D03.JERC.00090",,,"NEON.DOC.000987vC","PIPA2","Pinus palustris Mill.","species",,,,,"no transcription errors found; Listed on data sheet as subplot ID 51 corrected on data sheet; pointID number not on datasheet used number 41","jkilmer@field-ops.org","tantony@field-ops.org",
"0b2b504f-0616-430f-98b9-bb4c4a1e2df8","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","31",,,,,,"NEON.PLA.D03.JERC.00071",,,"NEON.DOC.000987vC","SASSA","Sassafras sp.","genus",,,,,"Dead Rx Fire","jkilmer@field-ops.org","tantony@field-ops.org",
"aa264ec1-e77b-4581-bbf1-f29a608e3744","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","40",,,,,,"NEON.PLA.D03.JERC.00081",,,"NEON.DOC.000987vC","PIPA2","Pinus palustris Mill.","species",,,,,"Listed on data sheet as subplot ID 49 corrected on data sheet","jkilmer@field-ops.org","tantony@field-ops.org",
"36dc4296-3ce6-42de-ba86-96e60f0681c7","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","41",,,,,,"NEON.PLA.D03.JERC.00093",,,"NEON.DOC.000987vC","SASSA","Sassafras sp.","genus",,,,,"Listed on data sheet as subplot ID 51 corrected on data sheet; Living","jkilmer@field-ops.org","tantony@field-ops.org",
"f05afbd9-e4a9-4b92-8951-6a244965beb4","JERC_002.basePlot.vst","2014-08-06","vst_JERC_2014","D03","JERC","JERC_002","31",,,,,,"NEON.PLA.D03.JERC.00061",,,"NEON.DOC.000987vC","SASSA","Sassafras sp.","genus",,,,,"Dead Rx Fire","jkilmer@field-ops.org","tantony@field-ops.org",
