uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"8ad53185-9476-49f6-a745-4b3df461fdf4","GRSM_057.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_057","23","4",,,,,"NEON.PLA.D07.GRSM.00027",,,"NEON.DOC.000987vE","LIBE3","Lindera benzoin (L.) Blume","species",,,,,,"mcumberland@field-ops.org","dmitchell@neoninc.org",
"8e1cb50a-cb55-416d-bdd7-aa6f56ee5e88","GRSM_057.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_057","41","1",,,,,"NEON.PLA.D07.GRSM.00103",,,"NEON.DOC.000987vE","LIBE3","Lindera benzoin (L.) Blume","species",,,,,,"mcumberland@field-ops.org","dmitchell@neoninc.org",
"b9867208-f042-4e20-8865-26fac6e7c4d1","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","1",,,,,"NEON.PLA.D07.GRSM.00174",,,"NEON.DOC.000987vE","ULRU","Ulmus rubra Muhl.","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"bb6e8cd9-c127-4f39-8a2b-c9a87058d0bb","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","1",,,,,"NEON.PLA.D07.GRSM.00187",,,"NEON.DOC.000987vE","RHODO","Rhododendron sp.","genus",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"c6467cfc-bce4-4723-95f5-89c6885ec8c6","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","4",,,,,"NEON.PLA.D07.GRSM.00157",,,"NEON.DOC.000987vE","ACPE","Acer pensylvanicum L.","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"7dc5a94c-c6b9-4f64-8618-1e7e388c9ae3","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","4",,,,,"NEON.PLA.D07.GRSM.00138",,,"NEON.DOC.000987vE","TSCA","Tsuga canadensis (L.) Carrière","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"6c8933aa-943a-4f98-a0a5-9b68cc465c3d","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","2",,,,,"NEON.PLA.D07.GRSM.00195","192",,"NEON.DOC.000987vE","VITIS","Vitis sp.","genus",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"7f37b8b4-c444-48a1-b180-c6a7e159c917","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","4",,,,,"NEON.PLA.D07.GRSM.00159",,,"NEON.DOC.000987vE","TSCA","Tsuga canadensis (L.) Carrière","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"669e0d13-c519-4e15-a63a-d58fcb20639d","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","1",,,,,"NEON.PLA.D07.GRSM.00178",,,"NEON.DOC.000987vE","RHODO","Rhododendron sp.","genus",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"5df2588f-0b9c-432d-af80-1ff5b2cf14b4","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","2",,,,,"NEON.PLA.D07.GRSM.00121",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"f850d666-54bf-4cfd-9d29-4d04d8256719","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","4",,,,,"NEON.PLA.D07.GRSM.00127",,,"NEON.DOC.000987vE","TIAM","Tilia americana L.","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"659a8d73-f208-4fed-9785-57e838678777","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","2",,,,,"NEON.PLA.D07.GRSM.00117",,,"NEON.DOC.000987vE","BELE","Betula lenta L.","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"15bba0a1-085e-4adc-b252-a6538efec5e1","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","4",,,,,"NEON.PLA.D07.GRSM.00131",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"13ab23bd-1787-42c1-88be-54e1feb280d2","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","2",,,,,"NEON.PLA.D07.GRSM.00123",,,"NEON.DOC.000987vE","TSCA","Tsuga canadensis (L.) Carrière","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"cc26aba2-2631-4d26-bf94-fcd00287b53d","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","23","2",,,,,"NEON.PLA.D07.GRSM.00106",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"dmitchell@neoninc.org cjuneau@field-ops.org","mcumberland@field-ops.org",
"121c994e-a26e-44da-a08a-34ae688205f3","GRSM_057.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_057","23","2","25",4.7,2.8,,"NEON.PLA.D07.GRSM.00010",,,"NEON.DOC.000987vE","MAGNO","Magnolia sp.","genus",,,,,,"mcumberland@field-ops.org","dmitchell@neoninc.org",
"d2ad7824-ad3f-43ac-ae6a-ab1f0f6b7d4e","GRSM_048.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_048","41","1",,,,,"NEON.PLA.D07.GRSM.00175",,,"NEON.DOC.000987vE","CAFL22","Calycanthus floridus L.","species",,,,,,"cjuneau@battelleecology.org","mcumberland@field-ops.org",
"0d1373e2-6028-4eda-aebe-063057c1ea0c","GRSM_057.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_057","23","3","41",7.7,176.5,,"NEON.PLA.D07.GRSM.00046",,,"NEON.DOC.000987vE","LITU","Liriodendron tulipifera L.","species",,,,,,"mcumberland@field-ops.org","dmitchell@neoninc.org",
"f7f06a67-944e-42cb-9408-6102730feded","GRSM_057.basePlot.vst","2015-05-18","vst_GRSM_2015","D07","GRSM","GRSM_057","41","2","33",4.9,5.6,,"NEON.PLA.D07.GRSM.00074",,,"NEON.DOC.000987vE","ULRU","Ulmus rubra Muhl.","species",,,,"cf. species",,"mcumberland@field-ops.org","dmitchell@neoninc.org",
