uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"d4320202-93a0-4044-a959-9e5497e9e5c6","ORNL_051.basePlot.vst","2018-01-03","D07","ORNL","ORNL_051","tower","deciduousForest",35.962469,-84.283958,"WGS84",20.1,744935.05,3983196.49,"16N",326.8,0.2,"vst_ORNL_2017",,,"23 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"N",,"25","noneSelected",800,100,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"d0d0df27-4aea-467c-96ef-94865e9c751d","ORNL_060.basePlot.vst","2018-01-03","D07","ORNL","ORNL_060","tower","deciduousForest",35.962796,-84.286937,"WGS84",20.1,744665.33,3983225.29,"16N",327.8,0.2,"vst_ORNL_2017",,,"21 | 39","NEON.DOC.000987vE","Y","Y",,"N",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"ed8ae73a-69b3-43f5-b3cb-cfc4d6008062","ORNL_063.basePlot.vst","2018-01-09","D07","ORNL","ORNL_063","tower","deciduousForest",35.965319,-84.277896,"WGS84",20.1,745473.02,3983527.96,"16N",302.9,0.1,"vst_ORNL_2017",,,"23 | 39","NEON.DOC.000987vG","Y","Y",,"N",,"Y",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"8e4d685d-1dbd-4690-b7b2-1519532e2538","ORNL_049.basePlot.vst","2018-01-09","D07","ORNL","ORNL_049","tower","deciduousForest",35.964792,-84.278894,"WGS84",20.1,745384.64,3983466.97,"16N",315.6,0.2,"vst_ORNL_2017",,,"21 | 39","NEON.DOC.000987vG","Y","Y",,"Y",,"Y",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"204855ae-8ef7-45e5-a1ed-9ae6b4dd1194","ORNL_037.basePlot.vst","2018-01-10","D07","ORNL","ORNL_037","tower","deciduousForest",35.963215,-84.281617,"WGS84",20.1,745143.90,3983285.15,"16N",324.6,0.1,"vst_ORNL_2017",,,"21 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"Y",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"17ef4a64-ff11-4508-843f-22ed8c71c524","ORNL_056.basePlot.vst","2018-01-10","D07","ORNL","ORNL_056","tower","deciduousForest",35.962157,-84.281616,"WGS84",20.2,745147.27,3983167.76,"16N",302.5,0.2,"vst_ORNL_2017",,,"23 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"N",,"25","noneSelected",800,100,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"e39a87db-f5df-4fd9-94b0-bc166b76932c","ORNL_055.basePlot.vst","2018-01-10","D07","ORNL","ORNL_055","tower","deciduousForest",35.960800,-84.282663,"WGS84",20.3,745057.02,3983014.57,"16N",290.4,0.4,"vst_ORNL_2017",,,"21 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"Y",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"2cf2cb68-3b31-47f5-a119-e9c9366f0154","ORNL_052.basePlot.vst","2018-01-15","D07","ORNL","ORNL_052","tower","deciduousForest",35.962389,-84.279989,"WGS84",20.2,745293.31,3983197.60,"16N",325.4,0.3,"vst_ORNL_2017",,,"21 | 39","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"01f54d32-fff9-48b2-a5eb-812b01cc7e28","ORNL_062.basePlot.vst","2018-01-15","D07","ORNL","ORNL_062","tower","evergreenForest",35.960748,-84.280011,"WGS84",20.1,745296.40,3983015.47,"16N",317.4,0.3,"vst_ORNL_2017",,,"21 | 23","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"noneSelected","noneSelected",800,800,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
"70ad69bf-0375-4e54-a452-8d0aef7b7303","ORNL_058.basePlot.vst","2018-01-19","D07","ORNL","ORNL_058","tower","deciduousForest",35.963319,-84.285921,"WGS84",20.2,744755.36,3983285.87,"16N",322.3,0.2,"vst_ORNL_2017",,,"39 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"N",,"100","noneSelected",800,400,800,,"aferchaud@battelleecology.org","mcumberland@battelleecology.org",
