uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"65a8016c-5d5e-414b-9200-dcfd23fd3c23","LENO_064.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_064","23","3","41",7.9,146.8,,"NEON.PLA.D08.LENO.08173",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","nleder@field-ops.org",
"4ae8bbeb-c8d0-41c0-9b87-9d0598b7c0ec","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1","21",2.9,55.6,,"NEON.PLA.D08.LENO.08002",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"0bf49dd5-d733-4873-a1d6-b4d29a7edda5","LENO_064.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_064","23","3","41",6.0,123.9,,"NEON.PLA.D08.LENO.08180",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","nleder@field-ops.org",
"6dffdef9-51c9-4891-805a-da0be8b0ddf6","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1","41",8.4,10.1,,"NEON.PLA.D08.LENO.08137",,,"NEON.DOC.000987vE","CACO15","Carya cordiformis (Wangenh.) K. Koch","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"ff7e6f13-72a6-47ac-8278-bb0ddab127eb","LENO_064.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_064","23","1","41",11.3,177.7,,"NEON.PLA.D08.LENO.08186",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","nleder@field-ops.org",
"70798d9d-ed6e-4442-b789-4e2795bd5ed0","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","2","41",13.9,73.6,,"NEON.PLA.D08.LENO.08139",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"d9dab268-77c3-4a0f-9563-1e5421d2aa37","LENO_064.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_064","23","2","25",7.2,296.9,,"NEON.PLA.D08.LENO.08179",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","nleder@field-ops.org",
"fa504e2b-5725-47ab-9401-4fc7d43dbef7","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","2","41",18.4,70.7,,"NEON.PLA.D08.LENO.08141",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"6828ad2c-683f-4d87-8919-20e0dbd9a2d9","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","3","41",14.7,261.6,,"NEON.PLA.D08.LENO.08063",,,"NEON.DOC.000987vE","QUPA5","Quercus pagoda Raf.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"afdd0345-01ad-42e4-a289-e45bc8d472f7","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","3","41",12.2,16.0,,"NEON.PLA.D08.LENO.08145",,,"NEON.DOC.000987vE","SAAL5","Sassafras albidum (Nutt.) Nees","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"092cce0a-3082-4c00-b4c3-5744fa06a6d1","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08085",,,"NEON.DOC.000987vE","ILOP","Ilex opaca Aiton","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"9700ceb4-efae-4c4f-9624-6bfd6a92d97b","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08001",,,"NEON.DOC.000987vE","ILDE","Ilex decidua Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"0063e3a4-79d7-4b97-9331-c76140708105","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08030",,,"NEON.DOC.000987vE","HALES","Halesia sp.","genus",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"1495a0c0-961b-46dd-88af-a6d5c61a1b09","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08125",,,"NEON.DOC.000987vE","ILDE","Ilex decidua Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"933052de-af00-4e18-b7d5-66d3a02ccf97","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08105",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"324ad19e-b7fe-4b4f-aa85-536db7ff24e5","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08026",,,"NEON.DOC.000987vE","ILDE","Ilex decidua Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"e8521d2e-ccb6-489f-b52e-6a1152e85094","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08019",,,"NEON.DOC.000987vE","HALES","Halesia sp.","genus",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"8f81f8cb-2907-48d7-8d77-28bad726422a","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08070",,,"NEON.DOC.000987vE","ITVI","Itea virginica L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"263ef4da-9b6c-4dbd-af19-5f952d227725","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08116",,,"NEON.DOC.000987vE","QUNI","Quercus nigra L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"e82c4fd1-b308-4a2c-a76b-7ee1816e7e47","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08024",,,"NEON.DOC.000987vE","ILDE","Ilex decidua Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"20b7b56a-5d13-41da-854f-49e188050836","LENO_064.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_064","23","4",,,,,"NEON.PLA.D08.LENO.08160",,,"NEON.DOC.000987vE","PRSE2","Prunus serotina Ehrh.","species",,,,,,"mwiegmann@neoninc.org","nleder@field-ops.org",
"10b3bdc4-e75a-4259-ab27-790262037420","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08071",,,"NEON.DOC.000987vE","NYBI","Nyssa biflora Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"e7209256-ea0e-4388-9625-94e4bc5266eb","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08018",,,"NEON.DOC.000987vE","HALES","Halesia sp.","genus",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"18ecd198-d909-44cc-86e6-ca1693feb595","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08079",,,"NEON.DOC.000987vE","DIVI5","Diospyros virginiana L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"65a0d5e4-bb3e-449a-93c2-cc17ae4e32fe","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08022",,,"NEON.DOC.000987vE","HALES","Halesia sp.","genus",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"84437684-d010-45b2-a981-edbbf0ab679b","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08110",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"946aac3c-2e23-47d9-8336-9c872aff9c43","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","4",,,,,"NEON.PLA.D08.LENO.08041",,,"NEON.DOC.000987vE","ILDE","Ilex decidua Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"c4b85e35-e784-4d68-bbc1-0c51b171d429","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08020",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"fa5a3efe-cb50-4ffb-b07d-fe30fc7f4851","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08098",,,"NEON.DOC.000987vE","ILOP","Ilex opaca Aiton","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"8afd9777-9309-406e-b589-80f96258917c","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08078",,,"NEON.DOC.000987vE","LIST2","Liquidambar styraciflua L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"31d83dfd-dad2-4414-bc96-34213b763a48","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","4",,,,,"NEON.PLA.D08.LENO.08076",,,"NEON.DOC.000987vE","HALES","Halesia sp.","genus",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"16fd9d5d-31e1-409e-bab7-7458281f6bdc","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08114",,,"NEON.DOC.000987vE","QUNI","Quercus nigra L.","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"fdf1cbba-3b8f-496a-872f-d8cbc4ade1a0","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","4",,,,,"NEON.PLA.D08.LENO.08040",,,"NEON.DOC.000987vE","ILDE","Ilex decidua Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"e5f896d5-2b8d-4750-9c9f-2e0b9f06298b","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08108",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"5d491ee0-b229-4d03-8c0c-8616e0775e7b","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08092",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"26d2330f-06ef-4dc9-9634-820c16816e30","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08133",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"d74e0ad1-f993-4f13-8d96-d593f428ed28","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","21","1",,,,,"NEON.PLA.D08.LENO.08028",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"063bcdee-1855-423d-8b0e-6af1554b29db","LENO_064.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_064","23","4",,,,,"NEON.PLA.D08.LENO.08163",,,"NEON.DOC.000987vE","QUNI","Quercus nigra L.","species",,,,,,"mwiegmann@neoninc.org","nleder@field-ops.org",
"0396e0d9-5a09-4235-978f-53f2d6005def","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08101",,,"NEON.DOC.000987vE","CACA18","Carpinus caroliniana Walter","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
"d4c8016f-54bd-4ac8-8bda-f5fe1bc52cfe","LENO_067.basePlot.vst","2015-07-14","vst_LENO_2015","D08","LENO","LENO_067","41","1",,,,,"NEON.PLA.D08.LENO.08090",,,"NEON.DOC.000987vE","ILOP","Ilex opaca Aiton","species",,,,,,"mwiegmann@neoninc.org","calvis@field-ops.org",
