uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"f3009f14-36e4-4e7a-841e-b11fc86be9bf","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",22.7,57.8,,"NEON.PLA.D16.ABBY.00437",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"2e9d7d89-d848-4b0a-b74e-3c197fca07cc","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"41",20.9,344.0,,"NEON.PLA.D16.ABBY.00427",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"2017 remap from pt. 59 13.9m @ 91.1 degrees","krian@neoninc.org","kzias@field-ops.org",
"c47d1f65-38b0-4150-b9b3-4310fba8abaf","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",16.3,12.5,,"NEON.PLA.D16.ABBY.00450",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"c24ae80b-9d07-417d-b47d-9d101e508cd7","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",26.4,42.7,,"NEON.PLA.D16.ABBY.00426",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,"cf. species","standing dead less than 130cm tall; does not qualify and tag was removed during 2016 bout. tagStatus removed, plantStatus no longer qualifies.","krian@neoninc.org","kzias@field-ops.org",
"d6ae8b2a-ff17-422b-a19d-d44a15eed88b","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",18.6,64.0,,"NEON.PLA.D16.ABBY.00416",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"94794e41-6595-4ea4-b80f-1ad3fcb62929","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",26.2,45.4,,"NEON.PLA.D16.ABBY.00431",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"cd517717-2279-4c6d-a98c-7073fefc4751","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00425",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,"On subplot line; retained in dataset.","krian@neoninc.org","kzias@field-ops.org",
"30ba6f1c-a6b8-4b10-8c15-cf3f853581d9","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",23.0,59.1,,"NEON.PLA.D16.ABBY.00420",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"596e95f9-32cb-4292-9983-01ec4bf7096f","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",11.4,26.7,,"NEON.PLA.D16.ABBY.00444",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"7e8b2ca7-64f6-4605-8015-82c26ab2ac02","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"49",6.5,333.8,,"NEON.PLA.D16.ABBY.00449",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"dffe7367-f45f-4b52-aea1-0951f903cef6","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",16.0,61.2,,"NEON.PLA.D16.ABBY.00414",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"eeca73e5-5515-4a69-9d6f-f0899aab13ec","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",15.2,68.7,,"NEON.PLA.D16.ABBY.00413",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"f1d15c7f-9968-4f58-98c0-4a25b091a9eb","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00433",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"912e87cf-a235-4718-b8c0-622e8059c733","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",15.5,20.5,,"NEON.PLA.D16.ABBY.00447",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"19ba13e4-86c3-48f8-8547-aa41b29592b5","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00439",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"995c7fdc-a042-454c-bccf-85a88b91d66a","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00423",,,"NEON.DOC.000987vE","ACCI","Acer circinatum Pursh","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
