uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"c7636d1a-e56e-46f1-9327-e68c60754591","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",,,,,"NEON.PLA.D16.WREF.04897",,,"NEON.DOC.000987vG","GASH","Gaultheria shallon Pursh","species",,,,,,"Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",
"63eecd39-fc75-4f80-9493-d0d3acf57d4f","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",,,,,"NEON.PLA.D16.WREF.04884",,,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",,,,,,"Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",
"84229195-9f5a-4e85-b7ef-2aede94995ff","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",,,,,"NEON.PLA.D16.WREF.04991",,,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",,,,,,"Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",
"118be810-9607-48d1-bfbc-a2bf88e976fb","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",,,,,"NEON.PLA.D16.WREF.04993",,,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",,,,,,"Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",
"6db91b15-bcd6-472e-abc3-3d879dc64db7","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",,,,,"NEON.PLA.D16.WREF.04888",,,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",,,,,,"Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",
"3eb26c5d-a9fc-4a31-a8a8-bf130f3debbc","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",,,,,"NEON.PLA.D16.WREF.04999",,,"NEON.DOC.000987vG","ABAM","Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","species",,,,,,"Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",
"dc7e2cb7-2f95-4cf7-a79c-d3f38cdbad4d","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",,,,,"NEON.PLA.D16.WREF.04899",,,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",,,,,,"Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",
"d5df77c5-b441-4c32-bf1c-b800721fffdf","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",,,,,"NEON.PLA.D16.WREF.04900",,,"NEON.DOC.000987vG","VAOV","Vaccinium ovalifolium Sm.","species",,,,,,"Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",
"2c30ddeb-f5df-4d9b-b842-5d450e7f7e39","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","21","1",,,,,"NEON.PLA.D16.WREF.04896",,,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",,,,,,"Jzemaitis@battelleecology.org","Eolsen@battelleecology.org",
"b1885804-0ccf-464b-8ca8-11137773c7d3","WREF_089.basePlot.vst","2017-10-16","vst_WREF_2017","D16","WREF","WREF_089","41","1",,,,,"NEON.PLA.D16.WREF.05000",,,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",,,,,,"Eolsen@battelleecology.org","Jzemaitis@battelleecology.org",
