uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"9737691c-b8ae-4136-bdbc-828c8efe8865","DEJU_050.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_050","23","4",,,,,"NEON.PLA.D19.DEJU.00050",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"agutting@field-ops.org","sroberts@field-ops.org",
"40a68f7c-eebe-4bfd-a29e-71329c771b4c","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","39",,"41",1.8,292.5,,"NEON.PLA.D19.DEJU.00127",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"mharris@field-ops.org","amau@field-ops.org",
"1044229d-4990-40d4-9434-aa18666c041f","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","39",,"57",14.3,166.8,,"NEON.PLA.D19.DEJU.00131",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"mharris@field-ops.org","amau@field-ops.org",
"1bcabc1a-071b-40bc-a5df-226cc3aa0efd","DEJU_050.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_050","23","4",,,,,"NEON.PLA.D19.DEJU.00045",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"agutting@field-ops.org","sroberts@field-ops.org",
"6570f8f3-311f-42ec-9233-220b1e0ec4ff","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","39",,"57",13.2,106.9,,"NEON.PLA.D19.DEJU.00121",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"mharris@field-ops.org","amau@field-ops.org",
"27df8851-d295-476e-b201-bb257436bbfd","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","21",,"39",2.2,176.3,,"NEON.PLA.D19.DEJU.00001",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"sroberts@field-ops.org","agutting@field-ops.org",
"b2c059aa-a2b4-4f70-afc2-44a640d651ad","DEJU_050.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_050","23","4",,,,,"NEON.PLA.D19.DEJU.00051",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"agutting@field-ops.org","sroberts@field-ops.org",
"e1cdacbc-62fc-4fdb-94f6-5660c9aa0a57","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","21",,"39",5.2,133.6,,"NEON.PLA.D19.DEJU.00003",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"sroberts@field-ops.org","agutting@field-ops.org",
"7abb2579-3f29-4e00-b58e-7854f3151459","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","39",,"57",19.7,157.9,,"NEON.PLA.D19.DEJU.00130",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"mharris@field-ops.org","amau@field-ops.org",
"9b0bd1ca-4614-4d75-9689-2810e7139575","DEJU_051.basePlot.vst","2015-06-15","vst_DEJU_2015","D19","DEJU","DEJU_051","39","1",,,,,"NEON.PLA.D19.DEJU.00104",,,"NEON.DOC.000987vE","PIMA","Picea mariana (Mill.) Britton, Sterns & Poggenb.","species",,,,,,"mharris@field-ops.org","amau@field-ops.org",
