uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"7c3e7897-c3d4-435d-83e1-95168d07bad7","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10515",,"ok","small tree","Live",3.4,130,,5.1,,,,,,,,,,,,,,,,,,,,,"0000-0001-7914-5891","0000-0003-2136-9037",
"d75ce39a-9766-4d16-aeab-51c25b30e985","BLAN_011.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_011",,"NEON.PLA.D02.BLAN.10192",,"ok","small tree","Live",1.0,130,,1.9,,,,,,,,,,,,,,,,,,,,,"0000-0003-2136-9037","0000-0001-7914-5891",
"1c53bb98-9ef3-45b2-b467-e9751aa8b3ed","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10546",,"ok",,"Downed",,,,,,,,,,,,,,,,,,,,,,,,"Dead and downed; tag remains for CDW; SAAL5","0000-0001-5222-4944","0000-0001-8122-5196",
"706dfad2-1e94-4e40-848d-7bd8e5c62578","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10461",,"ok","sapling","Live",,,,1.2,,,,,,,,1.5,10,,,,,,,,,,,,"0000-0001-7914-5891","0000-0003-2136-9037",
"4820b544-7a65-4804-8347-07dd88dcb7a5","BLAN_011.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_011",,"NEON.PLA.D02.BLAN.10146",,"notRequired",,"Lost, fate unknown",,,,,,,,,,,,,,,,,,,,,,,,"Unable to locate tag remains","0000-0001-8122-5196","0000-0001-5222-4944",
"19ce40ea-1907-437b-bf66-0fff22711e78","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10552",,"tagRemoved",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Tag found on ground and removed","0000-0001-7914-5891","0000-0003-2136-9037",
"0e0a890a-8a34-4591-93a1-b8dd9c99e3f9","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10526",,"ok","small tree","Live",7.4,130,,5.0,,,,,,,,,,,,,,,,,,,,,"0000-0001-7914-5891","0000-0003-2136-9037",
"aeb23c2a-a416-400b-9636-8c358b23fd0a","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.11938",,"ok","small tree","Live, physically damaged",1.3,130,,1.1,,,,,,,,,,,,,,,,,,,,"Bole damage due to wind throw","0000-0001-7914-5891","0000-0003-2136-9037",
"38f11625-a723-4185-9d62-6de2c53d8967","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10507",,"ok","small tree","Live",3.0,130,,5.3,,,,,,,,,,,,,,,,,,,,,"0000-0001-7914-5891","0000-0003-2136-9037",
"661d454a-ad0e-4a5c-922c-a8be90afd05a","BLAN_013.basePlot.vst","2019-10-01","vst_BLAN_2019","D02","BLAN","BLAN_013",,"NEON.PLA.D02.BLAN.10549",,"ok","liana","Live",5.4,130,,,,,,,,,,,,,,,,,,,,,,"Type E","0000-0001-5222-4944","0000-0001-8122-5196",
