uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"328c9272-cd85-43e6-b052-1fb9ad1b69ac","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.03440",,"ok","sapling","Live",,,,1.5,,,,,,,,2.1,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"3e322e2c-df9a-4ec2-a1fa-d782a58c7757","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02208",,"ok","small tree","Live",4.2,130,,4.3,,,,,,,,,,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"ad8771bd-9fa4-4c6d-b8e5-6c07c7f7d605","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.01792",,"ok","sapling","Live",,,,1.1,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"9d1a14ee-84ca-448a-a545-c63e80db20b9","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02467",,"ok","small tree","Live, physically damaged",2.9,130,,2.7,,,,,,,,,,,,,,,,,,,,"Lower branches pruned on neighboring trees as well","0000-0001-6914-6364","0000-0002-3030-0990",
"a3f50a3c-2171-4e9b-a091-0bc5526d74f3","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.03246",,"ok","sapling","Live",,,,0.5,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"ca4ea14b-d19e-4bec-a66f-7810335edcdd","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02878",,"ok","multi-bole tree","Live",30.5,130,,17.3,,,,10.5,8.2,"Full sun",,,,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"7ae5974d-81c2-42cf-9688-4317f3aa2216","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02460",,"ok","sapling","Dead, broken bole",,,,1.7,,1.2,0.6,,,,,1.1,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"bad9eda7-f3a9-4413-a32f-d18fb92d6c8e","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02800",,"ok","small tree","Live",2.3,130,,4.3,,,,,,,,,,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"f61a2893-db5e-48ef-9ac3-a05b502b8509","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.01798",,"ok","sapling","Live",,,,0.8,,,,,,,,1.4,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"6fb55654-a214-4feb-b1c9-c52e210d37da","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.01790",,"ok","sapling","Live",,,,0.9,,,,,,,,1.2,15,,,,,,,,,,,"Bent and growing abnormally because a tree fell on it","0000-0001-6914-6364","0000-0002-3030-0990",
"95cc10ba-1928-4576-bf4e-1addfa65f3e9","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02689",,"ok","single bole tree","Live",13.2,130,,10.8,,,,3.6,2.7,"Mostly shaded",,,,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"e6dcfb51-10df-44f2-ae63-1d6542b8cd5e","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02881",,"ok","single bole tree","Live",25.1,130,,15.1,,,,8.1,6.5,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"9b5d0d30-1d58-4924-800e-5b528690ca98","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02205",,"ok","sapling","Standing dead",,,,1.4,,,,,,,,1.6,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"901c7b13-f94a-400d-9984-785e5a169cd2","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02458",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Incorrect subplot","0000-0001-6914-6364","0000-0002-3030-0990",
"028efb54-da85-4a4c-a8df-ea72d2adebb9","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.01799",,"ok","sapling","Live",,,,0.7,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"bbc21f55-a90f-4368-b1d9-5920200f2b97","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.03455",,"ok","sapling","Dead, broken bole",,,,1.1,,1.1,1.1,,,,,1.6,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"cb9d0221-ce99-4e0e-bfde-42e76ff1f2ae","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02882",,"ok","single bole tree","Live",18.8,130,,15.0,,,,6.0,5.2,"Partially shaded",,,,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"81f73370-256c-473b-b5c9-0b6917f58202","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.03454",,"ok","sapling","Live",,,,0.8,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"1a6c13c8-b345-490a-a326-01f9e0ab1740","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02907",,"ok","small shrub","Live",,,,1.4,,,,1.4,0.8,,"half-sphere",1.1,10,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"52e87db3-0726-4ca2-8990-d4a5c6ffd4a7","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02691A",,"ok","multi-bole tree","Live, physically damaged",10.0,130,,15.8,,,,9.0,5.8,"Partially shaded",,,,,,,,,,,,,,"Crown damage","0000-0001-6914-6364","0000-0002-3030-0990",
"63c1389f-63bf-4e53-bc26-794571fbecc3","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02203",,"ok","small tree","Live",2.5,130,,3.1,,,,,,,,,,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"e68b5d11-c6a3-419d-b0ab-9d630a73adb1","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02459",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Incorrect subplot","0000-0001-6914-6364","0000-0002-3030-0990",
"91bed5ba-cd07-4586-a352-f222b1fa5cfe","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.01793",,"ok","sapling","Live",,,,1.0,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"34f9fa18-10ab-45a0-a86a-cb02c75a2b27","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02912",,"ok","sapling","Standing dead",,,,1.2,,,,,,,,1.9,10,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"b64ec564-2705-470c-993f-bc2bb31e0ea0","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02883B",,"ok","multi-bole tree","Live",20.8,130,,20.6,,,,10.5,8.2,"Full sun",,,,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"635dc7e3-8ee5-44dc-898e-f8bb0a46b2ce","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.01869",,"ok","sapling","Dead, broken bole",,,,1.8,,1.8,0.6,,,,,1.4,10,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"df028fc0-fdeb-4482-bb51-d506633eea65","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02201",,"ok","sapling","Live",,,,1.4,,,,,,,,2.0,10,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"d900979f-e3da-48c0-98af-31859ec139c9","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02698",,"ok","single bole tree","Live",14.6,130,,12.2,,,,3.8,2.8,"Mostly shaded",,,,,,,,,,,,,,,"0000-0001-6914-6364","0000-0002-3030-0990",
"98da470f-42d8-4999-9223-6151eb9bffd5","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02874",,"ok","sapling","Standing dead",,,,1.4,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"84f31475-8e09-4395-bc6e-f98c4ea92b93","TREE_017.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_017",,"NEON.PLA.D05.TREE.02883",,"ok","multi-bole tree","Live",36.1,130,,20.6,,,,10.5,8.2,"Full sun",,,,,,,,,,,,,,,"0000-0003-3626-6241","0000-0003-3160-1039",
"9ec1e581-57bc-4aa1-a104-1a6162216084","TREE_023.basePlot.vst","2019-11-04","vst_TREE_2019","D05","TREE","TREE_023",,"NEON.PLA.D05.TREE.02460",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,,,,,,,,,,"Incorrect subplot","0000-0001-6914-6364","0000-0002-3030-0990",
