uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"a3515d29-ceab-42bc-98ba-2ae60971c3e6","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03026",,"ok","small tree","Live",1.2,130,,2.2,,,,1.2,1.2,,,,,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"69170740-6e7f-43fa-8416-3db61612ff16","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03049",,"ok","small shrub","Live, physically damaged",,,,1.1,,,,1.0,0.8,,"columnar",1.0,10,,,,,,,,,,,"Herbivory","0000-0001-8510-4041","0000-0001-8397-9370",
"336f4ed4-00fd-482c-9667-c91392af8d7d","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03042",,"ok","sapling","Live",,,,1.5,,,,,,,,3.4,10,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"dbd5ae9b-c184-4e94-94f0-4fb7c52d8bc7","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03028",,"ok","sapling","Live",,,,1.1,,,,,,,,1.7,10,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"6cf52dd2-6de3-4d6f-91e2-3f4e59fd4f6f","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03050",,"ok","single shrub","Live, physically damaged",1.6,130,,2.0,1.1,,,2.2,1.4,,"ellipsoid or sphere",3.2,20,,,,,,,,,,,"Herbivory","0000-0001-8510-4041","0000-0001-8397-9370",
"5b777f5f-9491-44e9-bd76-0a82fda09387","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03034",,"ok","small shrub","Live",,,,0.4,,,,0.6,0.6,,"oblate half-sphere",1.1,10,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"94f3c125-db49-4bee-aab5-eb0f94bdd2cb","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03060",,"ok","sapling","Live",,,,1.3,,,,,,,,1.9,10,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"ef294b09-a377-4067-9234-b3154073bfd9","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03048",,"ok","small tree","Live",3.3,130,,2.7,,,,2.8,2.7,,,,,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"96263cf6-0ab9-434d-9d0a-d276c10df282","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.01422",,"ok","small tree","Live",4.1,130,,2.8,,,,2.3,2.2,,,,,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
"71b7b2b9-ff9e-4d66-b91c-9d370faff085","ABBY_013.basePlot.vst","2019-09-19","vst_ABBY_2019","D16","ABBY","ABBY_013",,"NEON.PLA.D16.ABBY.03027",,"ok","sapling","Live",,,,0.8,,,,,,,,1.5,10,,,,,,,,,,,,"0000-0001-8510-4041","0000-0001-8397-9370",
