uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"09665890-9f2a-4725-a8fd-00b28f13ea70","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01515A",,"ok","multi-bole tree","Live",10.9,130,,6.0,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"beeba663-2165-45ee-b6da-895ac4924646","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01455",,"ok","small shrub","Live",,,,1.7,,,,0.6,0.2,,"cylinder",1.5,10,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"0a78a5ed-d2e3-4d4b-886a-724504e6b0f0","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01451",,"ok","sapling","Live",,,,1.5,,,,,,,,1.6,10,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"233b84b2-4798-4508-87dc-72c5db862450","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01506",,"ok","single bole tree","Live",10.6,130,,6.1,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"dde49be8-c5b9-481f-9aa2-8bc2fda1c0e3","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01508",,"ok","multi-bole tree","Live",11.7,130,,7.9,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"60b9ad8d-4a38-4d25-af69-496165723230","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01511",,"ok","single bole tree","Live",12.9,130,,8.9,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"5193a4bc-c546-4cd8-b524-b4f5a1c3037c","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01505",,"ok","single bole tree","Live",13.2,130,,6.1,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"e9fa04be-008b-4220-9f6f-e06efc3c6bb4","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01516",,"ok","multi-bole tree","Live",11.3,130,,5.6,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"e8f3150a-9dba-4521-9b6c-e0e33b4e035c","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01412",,"ok","small shrub","Live",,,,1.9,,,,0.4,0.2,,"cylinder",1.3,10,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
"d16549f3-4ac8-412d-85a9-5409c712872a","PUUM_033.basePlot.vst","2019-08-27","vst_PUUM_2019","D20","PUUM","PUUM_033",,"NEON.PLA.D20.PUUM.01521",,"ok","single bole tree","Live",10.6,130,,6.9,,,,,,,,,,,,,,,,,,,,,"0000-0003-3691-6662","0000-0003-1142-4215",
