uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"2a74a937-3cff-4555-9913-afe422487677","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03952",,"ok","small tree","Standing dead",9.2,190,,12.2,,,,,,,,,,,,,,,,,,,,"Unknown cause of death. Holes in bole. Irregular bole until 180 cm. Hollow. Death possibly from irregular bole. Lots of scarring. Live root shoots.","0000-0003-1933-3182","0000-0003-2514-5399",
"a41ae750-98af-406a-85a0-93940b9cdc54","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03697",,"ok","single bole tree","Live, disease damaged",13.7,130,,14.8,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"87826559-04e8-4521-9d67-abcc8df3fd35","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03936",,"ok","single bole tree","Live, disease damaged",20.2,130,,14.8,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"94c42752-e8dc-431f-bf13-ef89685c1846","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03957",,"ok","single bole tree","Live",11.3,130,,7.8,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2514-5399",
"6f27632d-35df-4a4c-b749-f6d56c51a8e1","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03908",,"ok","small tree","Live, disease damaged",5.5,130,,7.7,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole. Slight insect damage in crown.","0000-0003-1933-3182","0000-0003-2514-5399",
"4d756e0b-afa5-476b-a8b9-22aabd7c0472","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03679",,"ok","single bole tree","Live, disease damaged",17.9,130,,14.3,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"7bc6c03f-a42b-4ba2-97a4-9fc1b59b08c5","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03951",,"ok","single bole tree","Live, disease damaged",15.8,130,,13.3,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"345d2540-ad94-40cf-9e3a-954ea975a2d0","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03954",,"ok","single bole tree","Live, disease damaged",28.7,130,,15.2,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"9821aac1-fc99-4f71-8501-f6c8803b3eff","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03932",,"ok","single bole tree","Live, physically damaged",32.1,130,,16.4,,,,,,,,,,,,,,,,,,,,"Sapsucker damage on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"c7dfe8a7-27d8-423b-b4c2-05919d0437c0","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.00994A",,"ok","multi-bole tree","Live, disease damaged",5.8,130,,11.0,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"05616122-8eb1-48f2-9149-8b9061d9faa9","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.04634",,"ok","single bole tree","Live",25.2,130,,5.6,,,,,,,,,,,,,,,,,,,,"Measurement height changed from previous years. Now measured along the stem.","0000-0003-1933-3182","0000-0003-2514-5399",
"400c8a15-9041-4e83-afd1-704170f58ca6","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03948",,"ok","single bole tree","Dead, broken bole",35.5,130,,16.9,,16.9,7.0,,,,,,,,,,,,,,,,,"Unknown cause of death and break.","0000-0003-1933-3182","0000-0003-2514-5399",
"5612cdf9-0bd7-45da-8ca3-a71825bb3816","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03917",,"ok","single bole tree","Live",30.6,135,,16.5,,,,,,,,,,,,,,,,,,,,"Measurement height changed this year. Old measurement height was 126 centimeters.","0000-0003-1933-3182","0000-0003-2514-5399",
"af066376-0a6b-4967-abdf-5c1a1001a6d1","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03976",,"ok","single bole tree","Live",27.6,130,,21.4,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2514-5399",
"59cd8a3b-57f1-41a0-97f5-bfc5c029a5a7","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03907",,"ok","single bole tree","Live, physically damaged",18.2,130,,13.1,,,,,,,,,,,,,,,,,,,,"Scarring on bole from missing branch.","0000-0003-1933-3182","0000-0003-2514-5399",
"fe9a82a7-4767-4754-ada0-3b6d8947b545","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03664",,"ok","single bole tree","Live, disease damaged",23.7,130,,13.1,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"863ecd31-db78-4c14-8ff3-d53a7513cb5a","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03927",,"ok","single bole tree","Live",25.3,130,,14.2,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2514-5399",
"a9103678-bc49-485e-b330-eaf474539524","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03925",,"ok","single bole tree","Live",19.1,130,,10.9,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2514-5399",
"8b9d5d74-6293-436f-bf31-577a89815027","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03696",,"ok","single bole tree","Live, disease damaged",22.5,130,,15.6,,,,,,,,,,,,,,,,,,,,"Beech bark disease on the bole.","0000-0003-1933-3182","0000-0003-2514-5399",
"161c9f2d-3a3b-4cb9-b4d5-b193b7eb6323","BART_073.basePlot.vst","2019-08-12","vst_BART_2019","D01","BART","BART_073",,"NEON.PLA.D01.BART.03674",,"ok","single bole tree","Live",11.0,130,,13.1,,,,,,,,,,,,,,,,,,,,,"0000-0003-1933-3182","0000-0003-2514-5399",
