uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"bcf40b53-96e6-4440-81d0-1419e143f6f0","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02227","1","ok","sapling","Live",,,,1.6,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"f5fb4ad5-8c8d-4c29-bc70-7b8326ad6d6e","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02221",,"ok","single bole tree","Standing dead",14.9,130,,6.7,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"25e123b0-8b3b-43ca-ba02-93883891b718","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02201",,"ok","single bole tree","Live",15.0,130,,12.7,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"cf774d9b-0aa2-4a1e-816b-5fdddb04e0a7","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02232","1","ok","sapling","Live",,,,2.2,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"71bf9162-bb7c-48a7-9f72-5c517b6389aa","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02257","1","ok","sapling","Live",,,,1.5,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"69e489e1-a3ca-4133-9ce7-0b186d396dea","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.06214","1","ok","sapling","Live",,,,1.1,,,,,,,,1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"a5ceb50e-60b1-4adf-8ca7-94cf8a6d11e7","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02820","2","ok","small shrub","Live",,,,1.6,,,,3.6,3.0,,"half-sphere",1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"04d3c8d5-3f13-4581-9aac-f12a7cdb81a6","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02211","1","ok","sapling","Live",,,,1.2,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"aaa00cc7-0f4e-460a-83e7-aed840e31c4c","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02213","1","ok","sapling","Live",,,,2.1,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"c5d2fe26-85b7-4d8c-a197-1b14217c0cf7","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.09249","1","ok","sapling","Live",,,,1.4,,,,,,,,1.3,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"e5ae22a8-2d1a-4b05-b424-1ade82786b01","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02389",,"ok","single bole tree","Live",18.1,130,,13.4,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"63e3292d-bf60-4b6e-a14c-43d863bbb34d","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.06233","1","ok","sapling","Live",,,,1.6,,,,,,,,1.3,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"83b18121-ae7b-4c17-9fd1-32800060f340","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02371",,"ok","single bole tree","Standing dead",13.9,130,,3.5,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"00189d42-8dc2-4b08-991f-ec6cf74ec2e9","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02380A",,"ok","multi-bole tree","Live",11.3,180,,3.9,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"70920ecd-27de-4e2c-8b61-58b113b81f0a","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02396","1","ok","small tree","Live",8.3,130,,7.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"4dbb0354-a680-43f2-b728-15d811d6129c","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.06224","1","ok","sapling","Live",,,,1.4,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"6dec5bd3-3903-4a45-9fd0-b1174421ef91","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.06394","1","ok","sapling","Live",,,,1.7,,,,,,,,1.1,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"f84673bc-b523-4502-bd57-40f76bcc49f6","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02361","1","ok","small tree","Live",7.7,130,,4.0,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"9bf99f5b-ce35-4352-a597-c8fee1f1eb1c","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02390","1","ok","small tree","Live",4.3,130,,3.1,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"ab0b4bef-e38c-47b4-98f3-dd0757c4360f","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02231","1","ok","sapling","Live",,,,1.9,,,,,,,,1.5,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"5c380000-c219-4f14-92be-5fa3d99e6a29","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02235","1","ok","sapling","Live",,,,1.1,,,,,,,,1.0,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"e276d5c9-0170-4f60-9813-90510bfc1057","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02387","1","ok","small tree","Live",5.6,130,,4.3,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"b7a904ff-1a2d-487a-a1ae-a3778430ee1f","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02385",,"ok","single bole tree","Standing dead",20.5,130,,15.7,,,,,,,,,,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"1c7c55db-05d8-4407-abfc-5bbee7f6164d","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.05876","2","ok","sapling","Live",,,,2.4,,,,,,,,1.8,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"4c646f8f-b9aa-4fcd-b006-6eab7a213a24","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.06400","2","ok","sapling","Live",,,,1.4,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"e5d95e74-d689-47cc-bbd5-3e745247bbcf","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.06393","1","ok","sapling","Live",,,,1.8,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"a6bc91e1-8671-4dc8-aa3f-9edb5ebfbffd","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.02822","1","ok","sapling","Live",,,,1.4,,,,,,,,1.4,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
"7448afeb-12ff-4616-b862-5df11025e417","UKFS_031.basePlot.vst","2019-11-05","vst_UKFS_2019","D06","UKFS","UKFS_031",,"NEON.PLA.D06.UKFS.03625","1","ok","sapling","Live",,,,1.5,,,,,,,,1.4,10,,,,,,,,,,,,"0000-0002-7574-2506","0000-0003-4984-7205",
